OrderDate,CategoryName,Quantity,ZScore,ZScore_Anomaly,IQR_Lower,IQR_Upper,IQR_Anomaly,IF_Anomaly,Anomaly_Method_Count,Final_Anomaly
2017-02-01,CPU,584.0,3.2077080963636178,True,-228.75,381.25,True,True,3,True
2016-06-01,Mother Board,557.0,4.54608656159268,True,-88.125,146.875,True,True,3,True
2016-10-01,Mother Board,327.0,2.4701105672187893,False,-88.125,146.875,True,True,2,True
2017-02-01,Mother Board,393.0,3.0658254177782536,True,-88.125,146.875,True,True,3,True
2015-10-01,RAM,61.0,0.6254891551901651,False,0.0,0.0,True,True,2,True
2016-06-01,RAM,233.0,3.3853671948130883,True,0.0,0.0,True,True,3,True
2017-02-01,RAM,334.0,5.005993252963759,True,0.0,0.0,True,True,3,True
2016-02-01,Storage,434.0,2.104249880709288,False,-201.75,336.25,True,True,2,True
2016-06-01,Storage,474.0,2.350028269414856,False,-201.75,336.25,True,True,2,True
2017-02-01,Storage,870.0,4.783234317599975,True,-201.75,336.25,True,True,3,True
2016-06-01,Video Card,281.0,2.4216428308580933,False,-127.875,213.125,True,True,2,True
2017-02-01,Video Card,351.0,3.171340611418584,True,-127.875,213.125,True,True,3,True
