OrderDate,CategoryName,Forecast,Lower_CI,Upper_CI
2017-12-01,CPU,130.27434549546803,-78.75906767775129,339.30775866868737
2018-01-01,CPU,-68.8837896749508,-308.93161527839595,171.16403592849434
2018-02-01,CPU,233.6042432390881,-57.36819990004241,524.5766863782186
2017-12-01,Mother Board,-2246.1924058693176,-17935587808.476105,17935583316.091293
2018-01-01,Mother Board,-4012.074490398792,-20273099860.10677,20273091835.95779
2018-02-01,Mother Board,-5244.068583573696,-20588853047.478073,20588842559.340904
2017-12-01,RAM,13.050217699849874,-1518388704.2009737,1518388730.301409
2018-01-01,RAM,-240.41731836201572,-1865763718.0037158,1865763237.169079
2018-02-01,RAM,-584.6526691050915,-2045340030.235894,2045338860.9305556
2017-12-01,Storage,97.10358026207882,-157.40642945349128,351.6135899776489
2018-01-01,Storage,66.10831219545886,-191.1891532212446,323.4057776121623
2018-02-01,Storage,427.8164918609317,160.94429842885995,694.6886852930035
2017-12-01,Video Card,254.38190334712664,103.81784443887929,404.94596225537396
2018-01-01,Video Card,149.9118709559145,-1.215271112293152,301.03901302412214
2018-02-01,Video Card,309.45299200656336,158.21509901114578,460.690885001981
