index,OrderDate,CategoryName,Quantity,Forecast
217,2017-01-01,CPU,107.0,364.3333333333333
223,2017-02-01,CPU,584.0,364.3333333333333
228,2017-03-01,CPU,238.0,364.3333333333333
230,2017-04-01,CPU,225.0,364.3333333333333
237,2017-05-01,CPU,155.0,364.3333333333333
242,2017-06-01,CPU,0.0,364.3333333333333
245,2017-07-01,CPU,0.0,364.3333333333333
252,2017-08-01,CPU,296.0,364.3333333333333
258,2017-09-01,CPU,257.0,364.3333333333333
264,2017-10-01,CPU,145.0,364.3333333333333
267,2017-11-01,CPU,145.0,364.3333333333333
