OrderDate,CategoryName,Quantity,ZScore,ZScore_Anomaly
2013-06-01,CPU,0.0,-0.5831213031838077,False
2013-07-01,CPU,0.0,-0.5831213031838077,False
2013-08-01,CPU,0.0,-0.5831213031838077,False
2013-09-01,CPU,0.0,-0.5831213031838077,False
2013-10-01,CPU,0.0,-0.5831213031838077,False
2013-11-01,CPU,0.0,-0.5831213031838077,False
2013-12-01,CPU,0.0,-0.5831213031838077,False
2014-01-01,CPU,0.0,-0.5831213031838077,False
2014-02-01,CPU,0.0,-0.5831213031838077,False
2014-03-01,CPU,0.0,-0.5831213031838077,False
2014-04-01,CPU,0.0,-0.5831213031838077,False
2014-05-01,CPU,0.0,-0.5831213031838077,False
2014-06-01,CPU,0.0,-0.5831213031838077,False
2014-07-01,CPU,0.0,-0.5831213031838077,False
2014-08-01,CPU,0.0,-0.5831213031838077,False
2014-09-01,CPU,0.0,-0.5831213031838077,False
2014-10-01,CPU,0.0,-0.5831213031838077,False
2014-11-01,CPU,0.0,-0.5831213031838077,False
2014-12-01,CPU,0.0,-0.5831213031838077,False
2015-01-01,CPU,0.0,-0.5831213031838077,False
2015-02-01,CPU,0.0,-0.5831213031838077,False
2015-03-01,CPU,0.0,-0.5831213031838077,False
2015-04-01,CPU,402.0,2.026319482121098,False
2015-05-01,CPU,300.0,1.3642225664467191,False
2015-06-01,CPU,0.0,-0.5831213031838077,False
2015-07-01,CPU,0.0,-0.5831213031838077,False
2015-08-01,CPU,0.0,-0.5831213031838077,False
2015-09-01,CPU,0.0,-0.5831213031838077,False
2015-10-01,CPU,0.0,-0.5831213031838077,False
2015-11-01,CPU,0.0,-0.5831213031838077,False
2015-12-01,CPU,0.0,-0.5831213031838077,False
2016-01-01,CPU,0.0,-0.5831213031838077,False
2016-02-01,CPU,0.0,-0.5831213031838077,False
2016-03-01,CPU,0.0,-0.5831213031838077,False
2016-04-01,CPU,0.0,-0.5831213031838077,False
2016-05-01,CPU,70.0,-0.1287410669366848,False
2016-06-01,CPU,157.0,0.435988655256168,False
2016-07-01,CPU,0.0,-0.5831213031838077,False
2016-08-01,CPU,369.0,1.8121116564617403,False
2016-09-01,CPU,453.0,2.3573679399582876,False
2016-10-01,CPU,460.0,2.402805963583,False
2016-11-01,CPU,206.0,0.754054820629154,False
2016-12-01,CPU,427.0,2.188598137923642,False
2017-01-01,CPU,107.0,0.11143134365108018,False
2017-02-01,CPU,584.0,3.2077080963636178,True
2017-03-01,CPU,238.0,0.9617715000564103,False
2017-04-01,CPU,225.0,0.8773865990390874,False
2017-05-01,CPU,155.0,0.42300636279196446,False
2017-06-01,CPU,0.0,-0.5831213031838077,False
2017-07-01,CPU,0.0,-0.5831213031838077,False
2017-08-01,CPU,296.0,1.3382579815183122,False
2017-09-01,CPU,257.0,1.0851032784663437,False
2017-10-01,CPU,145.0,0.3580949004709469,False
2017-11-01,CPU,0.0,-0.5831213031838077,False
2013-06-01,Mother Board,0.0,-0.4813857378258298,False
2013-07-01,Mother Board,0.0,-0.4813857378258298,False
2013-08-01,Mother Board,0.0,-0.4813857378258298,False
2013-09-01,Mother Board,0.0,-0.4813857378258298,False
2013-10-01,Mother Board,0.0,-0.4813857378258298,False
2013-11-01,Mother Board,0.0,-0.4813857378258298,False
2013-12-01,Mother Board,0.0,-0.4813857378258298,False
2014-01-01,Mother Board,0.0,-0.4813857378258298,False
2014-02-01,Mother Board,0.0,-0.4813857378258298,False
2014-03-01,Mother Board,0.0,-0.4813857378258298,False
