OrderDate,CategoryName,Quantity,ZScore,ZScore_Anomaly,IQR_Lower,IQR_Upper,IQR_Anomaly
2015-04-01,CPU,402.0,2.026319482121098,False,-228.75,381.25,True
2016-09-01,CPU,453.0,2.357367939958288,False,-228.75,381.25,True
2016-10-01,CPU,460.0,2.402805963583,False,-228.75,381.25,True
2016-12-01,CPU,427.0,2.188598137923642,False,-228.75,381.25,True
2017-02-01,CPU,584.0,3.2077080963636178,True,-228.75,381.25,True
2016-05-01,Mother Board,233.0,1.621668204300764,False,-88.125,146.875,True
2016-06-01,Mother Board,557.0,4.54608656159268,True,-88.125,146.875,True
2016-08-01,Mother Board,169.0,1.0440053189097682,False,-88.125,146.875,True
2016-10-01,Mother Board,327.0,2.4701105672187893,False,-88.125,146.875,True
2017-02-01,Mother Board,393.0,3.0658254177782536,True,-88.125,146.875,True
2017-08-01,Mother Board,230.0,1.594590256548061,False,-88.125,146.875,True
2017-09-01,Mother Board,187.0,1.2064730054259858,False,-88.125,146.875,True
2015-06-01,RAM,126.0,1.668466321326735,False,0.0,0.0,True
2015-10-01,RAM,61.0,0.6254891551901651,False,0.0,0.0,True
2016-06-01,RAM,233.0,3.3853671948130883,True,0.0,0.0,True
2016-10-01,RAM,82.0,0.962451008865057,False,0.0,0.0,True
2017-01-01,RAM,143.0,1.941244964777838,False,0.0,0.0,True
2017-02-01,RAM,334.0,5.005993252963759,True,0.0,0.0,True
2017-03-01,RAM,130.0,1.732649531550524,False,0.0,0.0,True
2017-08-01,RAM,80.0,0.9303594037531624,False,0.0,0.0,True
2016-02-01,Storage,434.0,2.104249880709288,False,-201.75,336.25,True
2016-06-01,Storage,474.0,2.3500282694148558,False,-201.75,336.25,True
2016-11-01,Storage,449.0,2.196416776473876,False,-201.75,336.25,True
2017-02-01,Storage,870.0,4.783234317599975,True,-201.75,336.25,True
2015-10-01,Video Card,247.0,2.057503908871569,False,-127.875,213.125,True
2016-02-01,Video Card,217.0,1.7362048600599302,False,-127.875,213.125,True
2016-06-01,Video Card,281.0,2.4216428308580933,False,-127.875,213.125,True
2017-01-01,Video Card,233.0,1.907564352759471,False,-127.875,213.125,True
2017-02-01,Video Card,351.0,3.171340611418584,True,-127.875,213.125,True
2017-05-01,Video Card,246.0,2.046793940577848,False,-127.875,213.125,True
